21439315	Emilio Del Cacho	Department of Animal Pathology, Faculty of Veterinary Sciences, University of Zaragoza, Zaragoza, Spain. 	edelcach@unizar.es		Induction of protective immunity against Eimeria tenella infection using antigen-loaded dendritic cells (DC) and DC-derived exosomes.	Vaccine	2011	Current methods for sustainable control of avian coccidiosis, whether by prophylactic medication or parasite vaccination, are suboptimal. In this study, we describe an alternative immunization strategy against Eimeria tenella infection using parasite antigen (Ag)-loaded dendritic cells (DCs), or their derived exosomes, in the absence of free Ag. CD45(+) intestinal DCs were isolated from E. tenella-infected chickens and loaded ex vivo with an extract of sporozoites as parasite Ag. Extracellular vesicles purified from the Ag-pulsed DCs expressed surface proteins associated with DC-derived exosomes, including major histocompatibility complex proteins (MHC I and MHC II), CD80, flotillin, and heat shock protein (HSP70). Following intramuscular immunization of chickens with Ag-pulsed DCs or Ag-pulsed DC-derived exosomes, Ag-containing cells were observed diffusely localized in the lymphoid tissue and concentrated in germinal centers of caecal tonsils, and restricted to germinal centers (GC) in the spleen. Chickens immunized with pulsed DCs or exosomes exhibited (a) higher numbers of caecal tonsil and spleen cells expressing IgG and/or IgA antibodies that were reactive with E. tenella Ag, (b) greater numbers of IL-2-, IL-16-, and IFN-γ-producing cells, and (c) higher E. tenella Ag-driven cell proliferation, compared with chickens immunized with Ag in the absence of DCs or exosomes. Chickens immunized with Ag-pulsed DCs or Ag-pulsed DC-derived exosomes and subsequently given a live E. tenella challenge infection at 10d post-immunization displayed (a) increased body weight gains, (b) decreased feed conversion ratios, (c) reduced fecal oocyst shedding, (d) diminished intestinal lesions, and (e) lower mortality, compared with animals given Ag alone. This is the first demonstration of Ag-specific protective immunity against avian coccidiosis using parasite Ag-loaded DCs or DC-derived exosomes.	
21814169	Rodrigo A Oliveira	Department of Internal Medicine, School of Medicine, Federal University of Ceará, Cariri Campus, Barbalha, Brazil. 	rodrigoalves@ufc.br		Renal tubular dysfunction in patients with American cutaneous leishmaniasis.	Kidney Int	2011	Renal dysfunction seen in patients with American cutaneous leishmaniasis (ACL) has been attributed to the use of antimonials for treatment. To determine whether ACL itself causes tubular dysfunction, we measured renal function in 37 patients with ACL prior to their treatment and compared results to that in 10 healthy volunteers of similar mean age. None of the patients presented with glomerular dysfunction; however, 27 had a urinary concentrating defect. There was no statistical difference between groups in the pre- and post-desmopressin test of urine osmolality, but the post-test urine osmolality of the controls was significantly higher. Urinary AQP2 levels, determined by western blot of isolated exosomes, were found to be significantly lower in patients than in controls, whereas that of the cotransporter (NKCC2) was significantly higher. A urinary acidification defect (post-test pH greater than 5.50 following calcium chloride) was found in 15 patients. Pretest plasma bicarbonate was below normal in 12 patients as was the pretest plasma pH in 14. Expression of the Na/H exchanger (NHE3), H(+)-ATPase, and pendrin were all significantly higher in patients with ACL than in controls. A combined urinary concentration and acidification defect was found in 12 patients. Thus, the urinary concentrating defect of ACL may be caused by decreased AQP2, with increased NKCC2 compensatory. Pendrin upregulation may be related to the urinary acidification defect with increased NHE3 and H(+)-ATPase also compensatory. Hence, ACL can cause asymptomatic renal tubular dysfunction.	
22203239	Elise C Kohn	Molecular Signaling Section, Medical Oncology Branch, Center for Cancer Research, National Cancer Institute, 10 Center Drive MSC 1906, Bethesda, MD 20892, USA.			Exosomes released by K562 chronic myeloid leukemia cells promote angiogenesis in a Src-dependent fashion.	Angiogenesis	2012	Exosomes, microvesicles of endocytic origin released by normal and tumor cells, play an important role in cell-to-cell communication. Angiogenesis has been shown to regulate progression of chronic myeloid leukemia (CML). The mechanism through which this happens has not been elucidated. We isolated and characterized exosomes from K562 CML cells and evaluated their effects on human umbilical endothelial cells (HUVECs). Fluorescent-labeled exosomes were internalized by HUVECs during tubular differentiation on Matrigel. Exosome localization was perinuclear early in differentiation, moving peripherally in cells undergoing elongation and connection. Exosomes move within and between nanotubular structures connecting the remodeling endothelial cells. They stimulated angiotube formation over a serum/growth factor-limited medium control, doubling total cumulative tube length (P = 0.003). Treatment of K562 cells with two clinically active tyrosine kinase inhibitors, imatinib and dasatinib, reduced their total exosome release (P < 0.009); equivalent concentrations of drug-treated exosomes induced a similar extent of tubular differentiation. However, dasatinib treatment of HUVECs markedly inhibited HUVEC response to drug control CML exosomes (P < 0.002). In an in vivo mouse Matrigel plug model angiogenesis was induced by K562 exosomes and abrogated by oral dasatinib treatment (P < 0.01). K562 exosomes induced dasatinib-sensitive Src phosphorylation and activation of downstream Src pathway proteins in HUVECs. Imatinib was minimally active against exosome stimulation of HUVEC cell differentiation and signaling. Thus, CML cell-derived exosomes induce angiogenic activity in HUVEC cells. The inhibitory effect of dasatinib on exosome production and vascular differentiation and signaling reveals a key role for Src in both the leukemia and its microenvironment.	PMC3595015
22559272	Jörn Bullerdiek	Center for Human Genetics, University of Bremen, Leobener Str, ZHG, Bremen, 28359, Germany. .	bullerd@uni-bremen.de		Exosome-delivered microRNAs of "chromosome 19 microRNA cluster" as immunomodulators in pregnancy and tumorigenesis.	Mol Cytogenet	2012	BACKGROUND: Structural rearrangements of chromosomal band 19q13 are a non-random cytogenetic abnormality in thyroid adenomas and adenomatous goiters and lead to an expression of miRNAs of the chromosome 19 microRNA cluster C19MC. Normally, expression of these miRNAs is silenced except for embryonic stem cells and the placenta where they represent the majority of miRNAs not only in the trophoblast but also in exosomes derived from it. PRESENTATION OF THE HYPOTHESIS: We have advanced the hypothesis that as part of the feto-maternal communication miRNAs of C19MC serve immunomodulatory functions in the placenta and confer a growth advantage to thyroid nodules by protecting them against autoimmune attacks. More precisely, the exosomes containing these miRNAs may specifically target immune cells in their local environment as well as systemically by transferring their cargo to recipient cells. Within these target cells the transferred miRNAs can interact with mRNAs of the recipient cells thereby suppressing their immune-specific functions. TESTING THE HYPOTHESIS: Experiments used to demonstrate the immunomodulatory capacity of placenta-derived exosomes can be modified by transfecting the target cells with those miRNAs of C19MC represented in placental exosomes. IMPLICATIONS OF THE HYPOTHESIS: Mimics of C19MC-derived miRNAs might develop to useful drug candidates for the treatment of autoimmune disease as e.g. rheumatoid arthritis and Sjögren's syndrome and for the prevention of transplant rejection. In case of tumor entities with elevated expression of C19MC miRNAs these miRNAs may be interesting targets for treatment with appropriate antagonists.	PMC3388007
22785357	Naotaka Ishiguro	Laboratory of Food and Environmental Hygiene, Department of Veterinary Medicine, Gifu University, Gifu, Japan.			Comparison of methods for isolating exosomes from bovine milk.	J Vet Med Sci	2012	Four methods were evaluated for isolating exosomes from bovine milk: (1) ExoQuick precipitation, (2) ultracentrifugation with ExoQuick precipitation, (3) ultracentrifugation with density gradient centrifugation, and (4) human milk exosome isolation. Methods 1 and 4 failed due to differences between bovine and human milk. Exosomes were efficiently isolated by ultracentrifugation with either ExoQuick precipitation (method 2) or density gradient centrifugation (method 3). The highest yield of exosomes was achieved using ultracentrifugation with ExoQuick precipitation, whereas higher quality exosome isolation with intact morphological structures was achieved by ultracentrifugation with density gradient centrifugation.	
23082778	Yi-Ting Chen	Chang Gung Bioinformatics Center, Department of Urology, Chang Gung Memorial Hospital, and Graduate Institute of Biomedical Sciences, College of Medicine, Chang Gung University, Taoyuan 333, Taiwan.			Comparative and targeted proteomic analyses of urinary microparticles from bladder cancer and hernia patients.	J Proteome Res	2012	Bladder cancer is a common urologic cancer whose incidence continues to rise annually. Urinary microparticles are an attractive material for noninvasive bladder cancer biomarker discovery. In this study, we applied isotopic dimethylation labeling coupled with liquid chromatography-tandem mass spectrometry (LC-MS/MS) to discover bladder cancer biomarkers in urinary microparticles isolated from hernia (control) and bladder cancer patients. This approach identified 2964 proteins based on more than two distinct peptides, of which 2058 had not previously been reported as constituents of human urine exosomes/microparticles. A total of 107 differentially expressed proteins were identified as candidate biomarkers. Differences in the concentrations of 29 proteins (41 signature peptides) were precisely quantified by LC-MRM/MS in 48 urine samples of bladder cancer, hernia, and urinary tract infection/hematuria. Concentrations of 24 proteins changed significantly (p<0.05) between bladder cancer (n=28) and hernia (n=12), with area-under-the-curve values ranging from 0.702 to 0.896. Finally, we quantified tumor-associated calcium-signal transducer 2 (TACSTD2) in raw urine specimens (n=221) using a commercial ELISA and confirmed its potential value for diagnosis of bladder cancer. Our study reveals a strong association of TACSTD2 with bladder cancer and highlights the potential of human urinary microparticles in the noninvasive diagnosis of bladder cancer.	
23382797	Ivana Delalle	Department of Pathology and Laboratory Medicine, Boston University School of Medicine, Boston, Massachusetts, United States of America.			Differential expression of exosomal microRNAs in prefrontal cortices of schizophrenia and bipolar disorder patients.	PLoS One	2013	Exosomes are cellular secretory vesicles containing microRNAs (miRNAs). Once secreted, exosomes are able to attach to recipient cells and release miRNAs potentially modulating the function of the recipient cell. We hypothesized that exosomal miRNA expression in brains of patients diagnosed with schizophrenia (SZ) and bipolar disorder (BD) might differ from controls, reflecting either disease-specific or common aberrations in SZ and BD patients. The sources of the analyzed samples included McLean 66 Cohort Collection (Harvard Brain Tissue Resource Center), BrainNet Europe II (BNE, a consortium of 18 brain banks across Europe) and Boston Medical Center (BMC). Exosomal miRNAs from frozen postmortem prefrontal cortices with well-preserved RNA were isolated and submitted to profiling by Luminex FLEXMAP 3D microfluidic device. Multiple statistical analyses of microarray data suggested that certain exosomal miRNAs were differentially expressed in SZ and BD subjects in comparison to controls. RT-PCR validation confirmed that two miRNAs, miR-497 in SZ samples and miR-29c in BD samples, have significantly increased expression when compared to control samples. These results warrant future studies to evaluate the potential of exosome-derived miRNAs to serve as biomarkers of SZ and BD.	PMC3559697
23585443	Richard J Simpson	Department of Biochemistry, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, Victoria, Australia.			Proteome profiling of exosomes derived from human primary and metastatic colorectal cancer cells reveal differential expression of key metastatic factors and signal transduction components.	Proteomics	2013	Exosomes are small extracellular 40-100 nm diameter membrane vesicles of late endosomal origin that can mediate intercellular transfer of RNAs and proteins to assist premetastatic niche formation. Using primary (SW480) and metastatic (SW620) human isogenic colorectal cancer cell lines we compared exosome protein profiles to yield valuable insights into metastatic factors and signaling molecules fundamental to tumor progression. Exosomes purified using OptiPrep™ density gradient fractionation were 40-100 nm in diameter, were of a buoyant density ~1.09 g/mL, and displayed stereotypic exosomal markers TSG101, Alix, and CD63. A major finding was the selective enrichment of metastatic factors (MET, S100A8, S100A9, TNC), signal transduction molecules (EFNB2, JAG1, SRC, TNIK), and lipid raft and lipid raft-associated components (CAV1, FLOT1, FLOT2, PROM1) in exosomes derived from metastatic SW620 cells. Additionally, using cryo-electron microscopy, ultrastructural components in exosomes were identified. A key finding of this study was the detection and colocalization of protein complexes EPCAM-CLDN7 and TNIK-RAP2A in colorectal cancer cell exosomes. The selective enrichment of metastatic factors and signaling pathway components in metastatic colon cancer cell-derived exosomes contributes to our understanding of the cross-talk between tumor and stromal cells in the tumor microenvironment.	
23719952	Mitsunori Takase	Nutritional Science Institute, Morinaga Milk Industry Co. Ltd., Kanagawa, Japan.			Purification of RNA from milk whey.	Methods Mol Biol	2013	MicroRNAs (miRNAs) are small regulatory RNA molecules that modulate specific target mRNAs and play very important roles in physiological processes. They were recently detected in body fluids such as blood, urine, saliva, and milk. These body fluid miRNAs have been studied thoroughly as potential diagnostic biomarkers. However, there have been few studies of milk miRNAs, and their roles are not clearly understood. Milk is the only nutritional source for newborn infants, and bovine milk is used widely as a dairy product. Thus, it is important to study milk miRNAs. In general, body fluid RNA concentrations are extremely low and of diverse existence types. In this chapter, we compare two silica membrane column-based RNA purification kits, and also compare RNA obtained directly from whey with that isolated from whey-derived exosomes.	
23936141	Khalid Al-Nedawi	Division of Nephrology, Department of Medicine, McMaster University, Hamilton, Ontario, Canada.			Regulation of the tumor suppressor PTEN through exosomes: a diagnostic potential for prostate cancer.	PLoS One	2013	PTEN is a potent tumor-suppressor protein. Aggressive and metastatic prostate cancer (PC) is associated with a reduction or loss of PTEN expression. PTEN reduction often occurs without gene mutations, and its downregulation is not fully understood. Herein, we show that PTEN is incorporated in the cargo of exosomes derived from cancer cells. PTEN is not detected in exosomes derived from normal, noncancerous cells. We found that PTEN can be transferred to other cells through exosomes. In cells that have a reduction or complete loss of PTEN expression, the transferred PTEN is competent to confer tumor-suppression activity to acceptor cells. In PC patients, we show that PTEN is incorporated in the cargo of exosomes that circulate in their blood. Interestingly, normal subjects have no PTEN expression in their blood exosomes. Further, we found that the prostate-specific antigen (PSA) is incorporated in PC patients' and normal subjects' blood exosomes. These data suggest that exosomal PTEN can compensate for PTEN loss in PTEN deficient cells, and may have diagnostic value for prostate cancer.	PMC3723640
24101524	Mattias Belting	Department of Clinical Sciences, Section of Oncology, Lund University, SE-221 85 Lund, Sweden.			Cancer cell exosomes depend on cell-surface heparan sulfate proteoglycans for their internalization and functional activity.	Proc Natl Acad Sci U S A	2013	Extracellular vesicle (EV)-mediated intercellular transfer of signaling proteins and nucleic acids has recently been implicated in the development of cancer and other pathological conditions; however, the mechanism of EV uptake and how this may be targeted remain as important questions. Here, we provide evidence that heparan sulfate (HS) proteoglycans (PGs; HSPGs) function as internalizing receptors of cancer cell-derived EVs with exosome-like characteristics. Internalized exosomes colocalized with cell-surface HSPGs of the syndecan and glypican type, and exosome uptake was specifically inhibited by free HS chains, whereas closely related chondroitin sulfate had no effect. By using several cell mutants, we provide genetic evidence of a receptor function of HSPG in exosome uptake, which was dependent on intact HS, specifically on the 2-O and N-sulfation groups. Further, enzymatic depletion of cell-surface HSPG or pharmacological inhibition of endogenous PG biosynthesis by xyloside significantly attenuated exosome uptake. We provide biochemical evidence that HSPGs are sorted to and associate with exosomes; however, exosome-associated HSPGs appear to have no direct role in exosome internalization. On a functional level, exosome-induced ERK1/2 signaling activation was attenuated in PG-deficient mutant cells as well as in WT cells treated with xyloside. Importantly, exosome-mediated stimulation of cancer cell migration was significantly reduced in PG-deficient mutant cells, or by treatment of WT cells with heparin or xyloside. We conclude that cancer cell-derived exosomes use HSPGs for their internalization and functional activity, which significantly extends the emerging role of HSPGs as key receptors of macromolecular cargo.	PMC3808637
