PMID	assigned?	rule_based	Correct Results	Haley		Peng Yu	Karthik	Chenwei	Xiaohuan	Yi Weng
15655551		NA	Y	Y	Tumour-derived exosomes and their role in cancer-associated T-cell signalling defects.		Y		Y	
15670595		NA	N	N	Characterization of Saccharomyces cerevisiae Nop17p, a novel Nop58p-interacting protein that is involved in Pre-rRNA processing.		N		N	
15723705		NA	N	N	A phase I study of dexosome immunotherapy in patients with advanced non-small cell lung cancer.		Y		N	
15764728		NA	N	N	Immunotherapy of murine malignant mesothelioma using tumor lysate-pulsed dendritic cells.		N		N	
15790784		NA	Y	Y	ICAM-1 on exosomes from mature dendritic cells is critical for efficient naive T-cell priming.		Y		Y	
15826944		No	N	N	Exosome-dependent trafficking of HSP70: a novel secretory pathway for cellular stress proteins.		N		Y	
15879146		Yes	Y	Y	Exosomes derived from IL-10-treated dendritic cells can suppress inflammation and collagen-induced arthritis.		Y		Y	
15880835		NA	Y*	Y*	Salivary gland epithelial cell exosomes: A source of autoantigenic ribonucleoproteins.		Y		Y	
15906406		No	N	N	Potocytosis and cellular exit of complexes as cellular pathways for gene delivery by polycations.		N		N	
15919366		NA	Y	Y	Exosomes secreted from monocyte-derived dendritic cells support in vitro naive CD4+ T cell survival through NF-(kappa)B activation.		Y		Y	
15920032		Yes	Y	Y	Mast cell-derived exosomes activate endothelial cells to secrete plasminogen activator inhibitor type 1.		Y		Y	
15975838		NA	Y	Y	The immunogenicity of dendritic cell-derived exosomes.		Y		Y	
15982908		NA	N	N	Accumulation of MFG-E8/lactadherin on exosomes from immature dendritic cells.		N		N	
15990342		Yes	Y	Y	Mature dendritic cells secrete exosomes with strong ability to induce antigen-specific effector immune responses.		Y		Y	
16116176		Yes	N	N	Alternative mechanism by which IFN-gamma enhances tumor recognition: active release of heat shock protein 72.		N		N	
16128814		NA	N	N	Nop53p, an essential nucleolar protein that interacts with Nop17p and Nip7p, is required for pre-rRNA processing in Saccharomyces cerevisiae.		N		N	
16243831		NA	Y	Y	More efficient induction of HLA-A*0201-restricted and carcinoembryonic antigen (CEA)-specific CTL response by immunization with exosomes prepared from heat-stressed CEA-positive tumor cells.		Y		Y	
16275099		NA	Y	Y	Exosomes derived from genetically modified DC expressing FasL are anti-inflammatory and immunosuppressive.		Y		Y	
16282196		Yes	N	N	HMGB1 is secreted by immunostimulated enterocytes and contributes to cytomix-induced hyperpermeability of Caco-2 monolayers.		N		N	
16313360		Yes	Y	Y	Tolerosome-induced oral tolerance is MHC dependent.		Y		N	
16489091		NA	N	N	Allogeneic tumor cells expressing fusogenic membrane glycoproteins as a platform for clinical cancer immunotherapy.		N		N	
16501490		No	N	N	Collection, storage, preservation, and normalization of human urinary exosomes for biomarker discovery.		N		N	
16541108		NA	N	N	Surveillance of nuclear-restricted pre-ribosomes within a subnucleolar region of Saccharomyces cerevisiae.		N		N	
16652390		NA	N	N	Microarray detection of novel nuclear RNA substrates for the exosome.		N		N	
16677129		NA	N	N	BCR-bound antigen is targeted to exosomes in human follicular lymphoma B-cells.		N		N	
16684341		No	N	N	Viral particles of the endogenous retrovirus ZAM from Drosophila melanogaster use a pre-existing endosome/exosome pathway for transfer to the oocyte.		N		N	
16684962		NA	N	N	Abnormal disulfide-linked oligomerization results in ER retention and altered signaling by TNFR1 mutants in TNFR1-associated periodic fever syndrome (TRAPS).		N		N	
16721266		NA	Y	Y	Dendritic cell-derived exosomes containing milk fat globule epidermal growth factor-factor VIII attenuate proinflammatory responses in sepsis.		Y		Y	
16724107		Yes	N	N	Retrovirus infection strongly enhances scrapie infectivity release in cell culture.		N		N	
16729021		NA	N	N	Subunit architecture of multimeric complexes isolated directly from cells.		N		N	
16827854		NA	Y	Y	Induction of tolerance by exosomes and short-term immunosuppression in a fully MHC-mismatched rat cardiac allograft model.		Y		Y	
16837903		Yes	Y	Y	Epigenetic transfer of metastatic activity by uptake of highly metastatic B16 melanoma cell-released exosomes.		Y		Y	
16841193		No	Y	Y	The role of the VPS4A-exosome pathway in the intrinsic egress route of a DNA-binding anticancer drug.		Y		N	
16893501		NA	Y	Y	Dendritic cell-derived exosomes stimulate stronger CD8+ CTL responses and antitumor immunity than tumor cell-derived exosomes.		Y		Y	
16978292		NA	N*	N*	Prostate cells exposed to lycopene in vitro liberate lycopene-enriched exosomes.		N		N	
17016692		Yes	Y	Y	Enhanced induction of dendritic cell maturation and HLA-A*0201-restricted CEA-specific CD8(+) CTL response by exosomes derived from IL-18 gene-modified CEA-positive tumor cells.		Y		Y	
17021608		No	N	N	Exosomal Fetuin-A identified by proteomics: a novel urinary biomarker for detecting acute kidney injury.		N		N	
17043104		Yes	Y	Y	Dendritic cell-derived exosomes express a Streptococcus pneumoniae capsular polysaccharide type 14 cross-reactive antigen that induces protective immunoglobulin responses against pneumococcal infection in mice.		Y		Y	
17045761		Yes	N	N	The potential of retroviral vectors to cotransfer human endogenous retroviruses (HERVs) from human packaging cell lines.		N		N	
17076679		NA	Y	Y	Specific isolation of placenta-derived exosomes from the circulation of pregnant women and their immunoregulatory consequences.		Y		Y	
17133347		NA	N	N	Tristetraprolin recruits functional mRNA decay complexes to ARE sequences.		N		N	
17219095		Yes	Y	Y	Surface anchorage of superantigen SEA promotes induction of specific antitumor immune response by tumor-derived exosomes.		Y		Y	
17219198		NA	Y	Y	Increased induction of antitumor response by exosomes derived from interleukin-2 gene-modified tumor cells.		Y		Y	
17223373		Yes	N	N	Apoptosis triggered by Rv1818c, a PE family gene from Mycobacterium tuberculosis is regulated by mitochondrial intermediates in T cells.		N		N	
17235024		NA	N	N	Identification of differentially expressed transcripts in bovine rumen and abomasum using a differential display method.		N		N	
17286953		NA	N	N	Determination of platinum in human subcellular microsamples by inductively coupled plasma mass spectrometry.		N		N	
17299798		Yes	Y	Y	T cell exosomes induce cholesterol accumulation in human monocytes via phosphatidylserine receptor.		Y		Y	
17484880		NA	Y	Y	T84-intestinal epithelial exosomes bear MHC class II/peptide complexes potentiating antigen presentation by dendritic cells.		Y		Y	
17486113		Yes	Y*	Y*	Exosome-mediated transfer of mRNAs and microRNAs is a novel mechanism of genetic exchange between cells.		Y?		Y	
17513735		Yes	Y	Y	Tumor exosomes inhibit differentiation of bone marrow dendritic cells.		Y		Y	
17548253		Yes	N	N	Identification of genes upregulated by recombinant interferon-alpha in HepG2 cells by suppressive subtractive hybridization analysis.		N		N	
17555831		Yes	Y	Y	Curcumin reverses breast tumor exosomes mediated immune suppression of NK cell tumor cytotoxicity.		Y		N	
17561097		NA	Y	Y	Redox-signaling transmitted in trans to neighboring cells by melanoma-derived TNF-containing exosomes.		N		Y	
17591775		NA	Y	Y	Exosomes released from infected macrophages contain Mycobacterium avium glycopeptidolipids and are proinflammatory.		Y		Y	
17626150		NA	Y	Y	Nonspecific CD4(+) T cells with uptake of antigen-specific dendritic cell-released exosomes stimulate antigen-specific CD8(+) CTL responses and long-term T cell memory.		Y		Y	
17641014		NA	N	N	CD8+ dendritic cells use LFA-1 to capture MHC-peptide complexes from exosomes in vivo.		N		N	
17641058		NA	N	N	Nonclassical IL-1 beta secretion stimulated by P2X7 receptors is dependent on inflammasome activation and correlated with exosome release in murine macrophages.		Y		N	
17641064		NA	Y	Y	Exosomes with immune modulatory features are present in human breast milk.		Y		Y	
17666570		NA	N	N	Reticulocyte-secreted exosomes bind natural IgM antibodies: involvement of a ROS-activatable endosomal phospholipase iPLA2.		N		Y	
17666571		NA	Y	Y	Exosomes released from macrophages infected with intracellular pathogens stimulate a proinflammatory response in vitro and in vivo.		Y		Y	
17675484		NA	Y	Y	MHC class II+ exosomes in plasma suppress inflammation in an antigen-specific and Fas ligand/Fas-dependent manner.		Y		Y	
17675485		NA	Y	Y	Effective treatment of inflammatory disease models with exosomes derived from dendritic cells genetically modified to express IL-4.		Y		Y	
17700640		No	N	N	CD24 is a marker of exosomes secreted into urine and amniotic fluid.		N		N	
17868797		NA	Y	Y	B cell-derived exosomes can present allergen peptides and activate allergen-specific T cells to proliferate and produce TH2-like cytokines.		Y		Y	
17894858		Yes	Y	Y	Platelet-derived exosomes induce endothelial cell apoptosis through peroxynitrite generation: experimental evidence for a novel mechanism of septic vascular dysfunction.		Y		Y	
17900673		NA	N	N	Malignant ascites-derived exosomes of ovarian carcinoma patients contain CD24 and EpCAM.		N		N	
17910038		NA	N	N	Generation of novel, secreted epidermal growth factor receptor (EGFR/ErbB1) isoforms via metalloprotease-dependent ectodomain shedding and exosome secretion.		Y		N	
17911587		NA	N	N	Antigen presentation by exosomes released from peptide-pulsed dendritic cells is not suppressed by the presence of active CTL.		N		N	
17942226		NA	N	N	Evidence for secretion of Cu,Zn superoxide dismutase via exosomes from a cell model of amyotrophic lateral sclerosis.		N		N	
17960135		NA	N	N	Identification of Tim4 as a phosphatidylserine receptor.		N		N	
17996049		Yes	Y	Y	Platelet-derived exosomes from septic shock patients induce myocardial dysfunction.		Y		Y	
18021298		Yes	Y	Y	Accelerated release of exosome-associated GM1 ganglioside (GM1) by endocytic pathway abnormality: another putative pathway for GM1-induced amyloid fibril formation.		Y		N	
18042677		NA	N	N	The yeast Ski complex is a hetero-tetramer.		N		N	
18203441		NA	N	N	Exosome nanovesicles displaying G protein-coupled receptors for drug discovery.		N		Y	
18266716		NA	N	N	Dendritic cells derived from bone marrow cells fail to acquire and present major histocompatibility complex antigens from other dendritic cells.		N		N	
18292531		NA	Y	Y	Exosomes as a short-range mechanism to spread alloantigen between dendritic cells during T cell allorecognition.		Y		Y	
18309083		Yes	N	N	Ceramide triggers budding of exosome vesicles into multivesicular endosomes.		N		N	
18345606		NA	N	N	Identification of breast cancer peptide epitopes presented by HLA-A*0201.		N		N	
18355242		NA	Y	Y	Serum-derived exosomes from antigen-fed mice prevent allergic sensitization in a model of allergic asthma.		Y		Y	
18362931		NA	N	N	Phase I clinical trial of autologous ascites-derived exosomes combined with GM-CSF for colorectal cancer.		Y		N	
18384831		NA	N	N	Exosome-like vesicles in Gloydius blomhoffii blomhoffii venom.		N		N	
18490724		NA	Y	Y	Human tumor-derived exosomes down-modulate NKG2D expression.		Y		Y	
18494037		NA	N	N	Difference gel electrophoresis analysis of Ras-transformed fibroblast cell-derived exosomes.		N		N	
18501435		NA	N	N	Enrichment of prion protein in exosomes derived from ovine cerebral spinal fluid.		N		N	
18509321		No	N	N	Urinary exosomal transcription factors, a new class of biomarkers for renal disease.		N		N	
18560543		NA	Y	Y	Exosomes derived from M. Bovis BCG infected macrophages activate antigen-specific CD4+ and CD8+ T cells in vitro and in vivo.		Y		Y	
18583400		NA	N	N	The mRNA decay promoting factor K-homology splicing regulator protein post-transcriptionally determines parathyroid hormone mRNA levels.		N		N	
18589210		No	N	N	MicroRNA signatures of tumor-derived exosomes as diagnostic biomarkers of ovarian cancer.		N		N	
18606707		NA	Y	Y	Exosomes from bronchoalveolar fluid of tolerized mice prevent allergic reaction.		Y		Y	
18646314		NA	N	N	HIV-1 Nef protein is secreted into vesicles that can fuse with target cells and virions.		N		N	
18675270		NA	N	N	Discrimination between exosomes and HIV-1: purification of both vesicles from cell-free supernatants.		N		N	
18715652		NA	N	N	Heat shock protein-containing exosomes in mid-trimester amniotic fluids.		N		N	
18765642		NA	N	N	TRF4 is involved in polyadenylation of snRNAs in Drosophila melanogaster.		N		N	
18802920		NA	N	N	Secretion of active membrane type 1 matrix metalloproteinase (MMP-14) into extracellular space in microvesicular exosomes.		N		N	
18819914		NA	N	N	Nedd4 family-interacting protein 1 (Ndfip1) is required for the exosomal secretion of Nedd4 family proteins.		N		N	
18829542		NA	N	N	Senescence-associated exosome release from human prostate cancer cells.		N		N	
18945959		Yes	N	N	Capture and transfer of HIV-1 particles by mature dendritic cells converges with the exosome-dissemination pathway.		N?		N	
19002258		NA	N	N	Detection of microRNA expression in human peripheral blood microvesicles.		N		N	
19013163		NA	Y	Y	Liver cell-derived microparticles activate hedgehog signaling and alter gene expression in hepatic endothelial cells.		Y		Y	
19028452		NA	N	N	Proteomic profiling of human plasma exosomes identifies PPARgamma as an exosome-associated protein.		N		N	
19064723		NA	N	N	Activated T cells recruit exosomes secreted by dendritic cells via LFA-1.		Y		Y	
19109191		Yes	N	N	Milk fat globule epidermal growth factor-factor VIII is down-regulated in sepsis via the lipopolysaccharide-CD14 pathway.		N		N	
19109410		NA	N	N	Proteomic and immunologic analyses of brain tumor exosomes.		Y		N	
19116988		NA	N	N	Identification of extracellular delta-catenin accumulation for prostate cancer detection.		N		N	
19138409		No	N	N	Can urinary exosomes act as treatment response markers in prostate cancer?		N		N	
19153696		NA	N	N	Isolation of extracellular membranous vesicles for proteomic analysis.		N		N	
19155503		NA	Y	Y	Cytomegalovirus-infected human endothelial cells can stimulate allogeneic CD4+ memory T cells by releasing antigenic exosomes.		Y		Y	
19158352		NA	N	N	Characterization of PKD protein-positive exosome-like vesicles.		N		N	
19161853		NA	N	N	In vivo and in vitro studies of RNA degrading activities in Archaea.		N		N	
19180475		Yes	Y	Y	Therapeutic effect of exosomes from indoleamine 2,3-dioxygenase-positive dendritic cells in collagen-induced arthritis and delayed-type hypersensitivity disease models.		Y		Y	
19186199		NA	N	N	Exosomes are an effective vaccine against congenital toxoplasmosis in mice.		Y		Y	
19188015		NA	Y	Y	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes.		Y		Y	
19188256		NA	N	N	Adenylation of plant miRNAs.		N		N	
19190083		NA	Y	Y	Characterization of exosome-like vesicles released from human tracheobronchial ciliated epithelium: a possible role in innate defense.		Y		Y	
19193788		NA	Y	Y	Noncytotoxic suppression of human immunodeficiency virus type 1 transcription by exosomes secreted from CD8+ T cells.		Y		Y	
19201875		NA	Y	Y	No significant CTL cross-priming by dendritic cell-derived exosomes during murine lymphocytic choriomeningitis virus infection.		Y		Y	
19204029		NA	N	N	Exosomal secretion of cytoplasmic prostate cancer xenograft-derived proteins.		N		N	
19235923		NA	Y	Y	Induction of myeloid-derived suppressor cells by tumor exosomes.		Y		Y	
19246649		Yes	N	N	COP9-associated CSN5 regulates exosomal protein deubiquitination and sorting.		N		N	
19390692		NA	N	N	Changes in retinal pigment epithelium related to cigarette smoke: possible relevance to smoking as a risk factor for age-related macular degeneration.		N		N	
19401683		No	N	N	Prostate cancer-derived urine exosomes: a novel approach to biomarkers for prostate cancer.		N		N	
19457124		NA	N	N	The surface-exposed chaperone, Hsp60, is an agonist of the microglial TREM2 receptor.		N		N	
19463842		NA	N	N	Molecular cloning and characterization of ecto-5'-nucleotidase from the venoms of Gloydius blomhoffi.		N		N	
19473897		Yes	Y	Y	Gastric cancer exosomes promote tumour cell proliferation through PI3K/Akt and MAPK/ERK activation.		Y		Y	
19494253		NA	N	N	Human villous trophoblasts express and secrete placenta-specific microRNAs into maternal circulation via exosomes.		Y?		N	
19530224		NA	N	N	Profile of exosomes related proteins released by differentiated and undifferentiated human keratinocytes.		N		N	
19542445		NA	Y	Y	Human placenta expresses and secretes NKG2D ligands via exosomes that down-modulate the cognate receptor expression: evidence for immunosuppressive function.		Y		Y	
19566897		No	N	N	Sorting of MHC class II molecules into exosomes through a ubiquitin-independent pathway.		N		N	
19592610		NA	N	N	Senescence, apoptosis, and stem cell biology: the rationale for an expanded view of intracrine action.		N		N	
19627513		No	N	N	Exosomes from human saliva as a source of microRNA biomarkers.		N		N	
19647308		No	N	N	Patient-derived tumor-reactive antibodies as diagnostic markers for ovarian cancer.		N		N	
19675137		Yes	Y	Y	Adipose tissue exosome-like vesicles mediate activation of macrophage-induced insulin resistance.		Y		Y	
19680595		NA	N	N	Astrocytes and Glioblastoma cells release exosomes carrying mtDNA.		N		N	
19682328		Yes	N	N	MHC II in dendritic cells is targeted to lysosomes or T cell-induced exosomes via distinct multivesicular body pathways.		Y?		N	
19708080		Yes	N	N	Immature myeloid cells induced by a high-fat diet contribute to liver inflammation.		N		N	
19772602		NA	N	N	Unintended spread of a biosafety level 2 recombinant retrovirus.		N		N	
19775426		NA	N	N*	KSRP-PMR1-exosome association determines parathyroid hormone mRNA levels and stability in transfected cells.		Y		Y	
19786948		NA	Y	Y	Paracrine induction of endothelium by tumor exosomes.		Y		Y	
19810033		NA	N	N	ExoCarta: A compendium of exosomal proteins and RNA.		N		N	
19822081		NA	N	N	Immunogenicity of allo-vesicle carrying ERBB2 tumor antigen for dendritic cell-based anti-tumor immunotherapy.		Y		N	
19863226		Yes	Y	Y	The role of cbl family of ubiquitin ligases in gastric cancer exosome-induced apoptosis of Jurkat T cells.		Y		Y	
19888536		NA	N	N	Cellular prion protein in blood platelets associates with both lipid rafts and the cytoskeleton.		N		N	
19948065		NA	N	N	Phylogeny-guided interaction mapping in seven eukaryotes.		N		N	
20052414		NA	N	N	Nanostructural and transcriptomic analyses of human saliva derived exosomes.		N		N	
20068364		No	N	N	Are sodium transporters in urinary exosomes reliable markers of tubular sodium reabsorption in hypertensive patients?		N		N	
20080967		NA	N	N	Differential mechanisms of shedding of the glycosylphosphatidylinositol (GPI)-anchored NKG2D ligands.		N		N	
20093776		Yes	Y	Y	Membrane-associated Hsp72 from tumor-derived exosomes mediates STAT3-dependent immunosuppressive function of mouse and human myeloid-derived suppressor cells.		Y		Y	
20126692		NA	N	N	Microfluidic isolation and transcriptome analysis of serum microvesicles.		N		N	
20153011		Yes	Y	Y	Inhibition of LINE-1 and Alu retrotransposition by exosomes encapsidating APOBEC3G and APOBEC3F.		Y		Y	
20156100		Yes	N	N	Genetic characterization of HIV type 1 Nef-induced vesicle secretion.		N		N	
20158877		NA	N	N	Analysis of deep sequencing microRNA expression profile from human embryonic stem cells derived mesenchymal stem cells reveals possible role of let-7 microRNA family in downstream targeting of hepatic nuclear factor 4 alpha.		N		Y	
20184735		NA	N	N	Immunoscreening of the extracellular proteome of colorectal cancer cells.		Y?		N	
20304794		No	N	N	Functional delivery of viral miRNAs via exosomes.		Y		N	
20348242		Yes	Y	Y	Contribution of MyD88 to the tumor exosome-mediated induction of myeloid derived suppressor cells.		Y		Y	
20348385		NA	N	N	Constitutive secretion in Tetrahymena thermophila.		N		N	
20353945		Yes	N	N	Secretory mechanisms and intercellular transfer of microRNAs in living cells.		N		N	
20407943		NA	N	N	Isolation and purification of exosomes in urine.		N		N	
20428099		No	N	N	Nucleic acids within urinary exosomes/microvesicles are potential biomarkers for renal disease.		N		N	
20458448		NA	N	N	Cellular prion protein released on exosomes from macrophages binds to Hsp70.		Y		N	
20469967		Yes	Y	Y	Exosomes derived from interleukin-10-treated dendritic cells can inhibit trinitrobenzene sulfonic acid-induced rat colitis.		Y		Y	
20478618		NA	Y	Y	Bystander suppression to unrelated allergen sensitization through intranasal administration of tolerogenic exosomes in mouse.		Y		Y	
20480522		NA	N	N	Effect of 5-aza-2'-deoxycytidine on immune-associated proteins in exosomes from hepatoma.		N		N	
20484626		NA	Y	Y	Cell-produced alpha-synuclein is secreted in a calcium-dependent manner by exosomes and impacts neuronal survival.		Y		Y	
20506326		NA	N	N	Liposome-bound APO2L/TRAIL is an effective treatment in a rabbit model of rheumatoid arthritis.		N		N	
20533300		NA	N	N	Visualizing of the cellular uptake and intracellular trafficking of exosomes by live-cell microscopy.		N		N	
20558614		NA	Y	Y	New mechanism for Notch signaling to endothelium at a distance by Delta-like 4 incorporation into exosomes.		N		Y	
20560914		Yes	Y	Y	Trophoblast-derived exosomes mediate monocyte recruitment and differentiation.		Y		Y	
20572937		NA	N	N	The RNA degradosome in Bacillus subtilis: identification of CshA as the major RNA helicase in the multiprotein complex.		N		N	
20615489		Yes	Y	Y	Fragments of antigen-loaded dendritic cells (DC) and DC-derived exosomes induce protective immunity against Leishmania major.		Y		Y	
20617119		No	N	N	Vesicular Trans-Cell Wall Transport in Fungi: A Mechanism for the Delivery of Virulence-Associated Macromolecules?		N		N	
20634433		NA	Y	Y	Biliary exosomes influence cholangiocyte regulatory mechanisms and proliferation through interaction with primary cilia.		Y		Y	
20661468		Yes	Y	Y	Tumor-derived microvesicles induce, expand and up-regulate biological activities of human regulatory T cells (Treg).		Y		Y	
20662102		NA	N	N	Proteomic analysis identifies highly antigenic proteins in exosomes from M. tuberculosis-infected and culture filtrate protein-treated macrophages.		Y?		N	
20686450		No	N	N	Comparison of three methods for isolation of urinary microvesicles to identify biomarkers of nephrotic syndrome.		N		N	
20717727		NA	N	N	Survivin is released from cancer cells via exosomes.		N		N	
20802178		Yes	Y*	Y*	TLR2-mediated expansion of MDSCs is dependent on the source of tumor exosomes.		Y		Y	
20807507		NA	N	N	Transmission of circulating cell-free AA amyloid oligomers in exosomes vectors via a prion-like mechanism.		N		N	
20828738		Yes	Y	Y	Exosomes derived from immature bone marrow dendritic cells induce tolerogenicity of intestinal transplantation in rats.		Y		Y	
20837771		NA	Y	Y	Exosome release of β-catenin: a novel mechanism that antagonizes Wnt signaling.		N?		Y	
20845808		Yes	Y	Y	Glycosyl-phosphatidylinositol-anchored interleukin-2 expressed on tumor-derived exosomes induces antitumor immune response in vitro.		Y		Y	
20880355		NA	N	N	Biogenesis of a specialized plant-fungal interface during host cell internalization of Golovinomyces orontii haustoria.		N		N	
20881185		NA	Y	Y	Leishmania exosomes modulate innate and adaptive immune responses through effects on monocytes and dendritic cells.		Y		Y	
20935467		NA	N	N	Yeast lsm pro-apoptotic mutants show defects in S-phase entry and progression.		N		N	
20949024		NA	Y	Y	αB crystallin is apically secreted within exosomes by polarized human retinal pigment epithelium and provides neuroprotection to adjacent cells.		N		Y	
20949044		NA	N	N	Let-7 microRNA family is selectively secreted into the extracellular environment via exosomes in a metastatic gastric cancer cell line.		N		N	
20950422		NA	N	N	Extra-cellular release and blood diffusion of BART viral micro-RNAs produced by EBV-infected nasopharyngeal carcinoma cells.		N		N	
20950868		NA	N	N	Induction of pregnancy during established EAE halts progression of CNS autoimmune injury via pregnancy-specific serum factors.		N		N	
21044087		Yes	Y	Y	Exosomal-like vesicles with immune-modulatory features are present in human plasma and can induce CD4+ T-cell apoptosis in vitro.		Y		Y	
21048109		Yes	Y	Y	Exosome-driven antigen transfer for MHC class II presentation facilitated by the receptor binding activity of influenza hemagglutinin.		Y		Y	
21057637		NA	N*	N*	Exosomes: Fit to deliver small RNA.		N		N	
21057646		NA	N	N	Secretory microRNAs as a versatile communication tool.		N		N	
21059916		NA	N	N	Human tumor virus utilizes exosomes for intercellular communication.		N		Y	
21078874		NA	N	N	CARHSP1 is required for effective tumor necrosis factor alpha mRNA stabilization and localizes to processing bodies and exosomes.		N		N	
21097504		NA	N	N	AlphaB-crystallin is found in detergent-resistant membrane microdomains and is secreted via exosomes from human retinal pigment epithelial cells.		N		N	
21102562		Yes	N	N	Microvesicle-mediated RNA molecule delivery system using monocytes/macrophages.		N		N	
21106852		NA	Y	Y	Exosomes containing glycoprotein 350 released by EBV-transformed B cells selectively target B cells through CD21 and block EBV infection in vitro.		Y		Y	
21111824		NA	N	N	Release of exosomes from differentiated neurons and its regulation by synaptic glutamatergic activity.		N		N	
21113025		Yes	N	N	Nuclear mRNA quality control in yeast is mediated by Nrd1 co-transcriptional recruitment, as revealed by the targeting of Rho-induced aberrant transcripts.		N		N	
21136642		NA	N	N*	Oligodendrocytes secrete exosomes containing major myelin and stress-protective proteins: Trophic support for axons?		Y		Y	
21137018		NA	N	N	Microfiltration isolation of human urinary exosomes for characterization by MS.		N		N	
21179422		NA	Y	Y	Exosomes communicate protective messages during oxidative stress; possible role of exosomal shuttle RNA.		Y		Y	
21181093		NA	Y	Y	Exosomes in the ascites of ovarian cancer patients: origin and effects on anti-tumor immunity.		Y		Y	
21216942		NA	N	N	The pathogenic fungus Paracoccidioides brasiliensis exports extracellular vesicles containing highly immunogenic α-Galactosyl epitopes.		Y		N	
21224375		No	Y	Y	Exosomes and cancer: a newly described pathway of immune suppression.		Y		Y	
21242314		Yes	N	N	Selective transfer of exosomes from oligodendrocytes to microglia by macropinocytosis.		N		N	
21242526		No	N	N	Chemokine-containing exosomes are released from heat-stressed tumor cells via lipid raft-dependent pathway and act as efficient tumor vaccine.		Y		Y	
